CompanyId,Name,Description123123
24,Film Tonic,null
26,Walt Disney Productions,null
30,Soyuzmultfilm,null
31,Bakshi Productions,null
32,Bandai Visual Company,null
33,Bevanfield Films,null
34,Blessed Elysium,null
35,Cartwn Cymru,null
36,Ceskoslovenský Státní Film,null
37,Col.Ima.Son,null
38,Films A2,null
39,Columbia,null
40,Screen Gems,null
41,Daewoo Entertainment,null
42,Dreamworks,null
43,Filmové Studio Gottwaldov,null
44,Golden Films,null
45,Korty Films,null
46,Lucasfilm,null
47,Lionsgate,null
48,Longreturn,null
49,Solaris,null
50,Roissy Films,null
51,Prima,null
52,Teva,null
53,Gam Films,null
54,Toei Animation,null
55,United Productions of America,null
56,Walt Disney Animation Canada,null
57,Yerevan Film Studio,null
58,Red Czarina Productions,null
59,"Koshka Productions ",null
60,Samuel Goldwyn Company,null
61,Klas Film,null
62,Hallmark Entertainment,null
63,Lenfilm Studio,null
64,SQ Productions,null
65,Amberwood Productions,null
66,Neofilmi,null
67,Paramount Pictures,null
68,Fleischer Studios,null
72,Celebrity Productions,null
80,DisCina,null
81,Laugh-O-Gram,null
82,Star Film,null
83,PRC Pictures Inc.,null
84,Compagnia Cinematografica Champion,null
85,Rome Paris Films,null
86,Gloria Film,null
87,Barnabe,null
88,Geiselgasteig Film,null
89,James Livingston,null
90,Nippon Animation,"A Japanese animation studio, headquartered in Tokyo."
92,Sakura Motion Picture Co.,null
93,Dansk Tegnefilm,null
94,"Studio Ghibli, Inc.","A Japanese animation film studio based in Koganei, Tokyo, Japan, best known for its anime feature films."
95,Tokyo Movie Shinsha,null
96,Ego Film Arts,null
97,Telefilm Canada,null
98,Alliance Atlantis,null
99,Cité-Amérique,null
100,National Film Board of Canada (NFB),null
101,KYPU Films,null
102,BBC,British Broadcasting Company
103,CBC,Canadian Broadcasting Corporation
104,Gulkin Productions,null
105,Odeon Films,null
106,TiMe Film- und TV-Produktions GmbH,null
107,Kushner-Locke Company,null
108,Warner Bros,null
109,Croatia Film,null
110,Imagiquest Entertainment,null
111,Reunion Pictures,null
112,Norstar Filmed Entertainment,null
113,Kingsgate Films,null
114,Recorded Picture Company,null
115,Persistence Pictures,null
116,Blackie Films,null
117,Jim Henson Television,null
118,Relativity Media,null
119,BRC Imagination Arts,null
120,Aileron Media,null
121,Dansk Kulturfilm,null
122,Potterton Productions,null
123,Metro-Goldwyn-Mayer,null
124,American International Productions,null
125,Touchstone Pictures,null
126,HandMade Films,null
127,Canal+,null
128,Belarusfilm,null
129,BAF Berlin Animation Film,null
130,Barnholtz Entertainment,null
131,Island Jamaica Films,null
132,Focus Features,null
133,CBS Films,null
134,Mini Film Productions,null
135,Flach Film,null
136,Channel Four Films,null
137,Misr Cinema Company,null
138,Cine Image,null
139,Limelight International Media Entertainment,null
140,Broomstick Entertainment,null
141,Asylum,null
142,Davenport Films,null
143,Platypus Productions,null
144,Metropolitan Films,null
145,Literarisches Colloquium,null
146,Bungei,null
147,Sagittarius Productions,null
148,Barunson Film,null
149,Graniet Film BV,null
150,Graniet Film BV,null
152,Le Vision Pictures,null
153,Marianne Productions,null
154,Brandman Productions,null
155,Twentieth Century Fox,null
156,Weinstein Company,null
157,Parallel Film Productions,null
158,Central Partnership,null
159,Athanor,null
160,Northern Lights,null
161,CinéGroupe,null
162,Estudios Picasso,null
163,Tequila Gang,null
