FilmGuid,LanguageGuid
0006b5f8-bae4-44bb-be1b-5305506aa2a0,564888a3-9c45-45fe-a75d-22f142fe28c1
00130da6-94f5-49d9-863b-38e0a680cc06,fe758c24-6a48-4f9c-8424-ea1956da1ac4
0019f0a5-1974-45b6-9819-698179466272,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
0032283a-22bd-42de-b82a-12ddb98fcfb7,927df241-9b2c-4a41-bbe1-d6151a413b40
003b0b1d-3e9f-47db-9c97-202a3411b354,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
00491260-edb4-4202-b9ef-e46a57e871dc,fe758c24-6a48-4f9c-8424-ea1956da1ac4
00558396-aba4-46ae-9bc7-849f15e00126,297d4d32-8572-402a-b355-667664ddfb76
0056b5e3-96dd-448f-938c-4dfcde8c3b31,564888a3-9c45-45fe-a75d-22f142fe28c1
0061094e-ffb8-483d-ba17-377c9fa0ea1a,3387e5b6-d36d-4475-8b34-e918249b7474
0061094e-ffb8-483d-ba17-377c9fa0ea1a,4e44d169-1292-4d6e-b5b9-fddc14fbbcdc
006c5ddf-0d86-4298-9da9-16c6f986a5b6,fe758c24-6a48-4f9c-8424-ea1956da1ac4
006de4a5-559e-4bcd-816e-e84369543fa8,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
006de4a5-559e-4bcd-816e-e84369543fa8,3387e5b6-d36d-4475-8b34-e918249b7474
006ebe6b-b55d-4fa8-853b-fc30293e3505,25006cc4-a12b-4570-918f-78a97dca46a3
006fdf2c-54be-4ebf-a31e-b0842c9604b1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
006fdf2c-54be-4ebf-a31e-b0842c9604b1,4e44d169-1292-4d6e-b5b9-fddc14fbbcdc
0071b256-3822-47eb-896e-aeb0a9091b4a,2872938c-9c70-477b-83c3-3fe8ba4abc89
00723d6d-ba8c-43be-8e71-f6acbb109bd0,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
0077dc8a-6a23-4676-ac69-cd0de37bbf13,4f571464-c0f6-460c-a1f2-fd307f5fe744
