FilmID,PersonID,RoleID
35,181,52
35,181,54
35,181,56
35,191,55
35,192,55
35,194,55
35,195,55
35,196,57
35,197,58
35,473,55
36,182,52
36,182,54
36,182,56
36,198,57
36,199,58
36,200,54
36,201,55
36,202,55
37,183,56
37,184,56
37,226,52
37,232,52
37,250,52
37,336,57
37,396,58
37,452,55
37,554,55
37,555,55
37,556,55
37,557,55
38,185,56
38,230,52
38,242,52
38,332,57
38,333,57
38,390,58
38,391,58
38,415,54
38,485,55
38,486,55
38,487,55
38,488,55
38,564,55
39,186,56
39,187,56
39,264,52
39,432,54
39,523,55
39,524,55
39,525,55
39,526,55
40,245,52
40,280,56
40,281,56
40,346,57
40,541,55
40,542,55
47,207,52
47,282,56
47,284,56
47,285,56
47,369,57
47,485,55
47,486,55
47,563,55
47,564,55
47,565,55
47,25611,54
49,208,52
49,210,52
49,210,54
49,214,52
49,220,52
49,221,52
49,222,52
49,252,52
49,269,56
49,270,56
49,271,56
49,272,56
49,273,56
49,356,57
49,412,54
49,485,55
49,486,55
49,563,55
49,564,55
49,566,55
50,255,52
50,255,56
50,327,56
50,377,57
50,416,54
50,417,54
50,418,54
50,494,55
50,495,55
50,496,55
50,497,55
50,498,55
50,499,55
53,227,52
53,326,56
53,337,57
53,439,54
53,440,54
53,567,55
54,238,52
54,238,54
54,238,56
54,295,56
54,296,56
54,297,56
54,378,57
54,389,58
54,549,55
54,550,55
54,552,55
54,553,55
54,598,55
55,229,52
55,301,56
55,341,57
55,426,54
55,513,55
55,514,55
55,515,55
55,516,55
55,517,55
56,258,52
56,258,56
56,308,56
56,350,57
56,397,58
56,429,54
56,568,55
56,569,55
56,570,55
56,571,55
56,572,55
57,243,52
57,376,57
57,573,55
57,574,55
57,575,55
57,576,55
57,577,55
57,599,56
57,600,58
58,205,52
58,328,56
58,375,57
58,450,55
58,455,55
58,456,55
58,457,55
58,458,55
58,20490,58
59,253,52
59,309,56
59,367,57
59,381,58
59,425,54
59,579,55
59,580,55
59,581,55
59,582,55
59,583,55
59,7288,52
60,212,52
60,232,52
60,232,56
60,288,56
60,373,57
60,374,57
60,396,58
60,413,54
60,450,55
60,451,55
60,452,55
60,453,55
60,454,55
61,231,52
61,307,56
61,353,57
61,386,58
61,443,54
61,444,54
61,588,55
61,589,55
61,590,55
61,591,55
61,592,55
62,259,52
62,259,56
62,351,57
62,380,58
62,419,54
62,445,55
62,446,55
62,447,55
62,448,55
62,449,55
63,243,52
63,243,54
63,243,56
63,287,56
63,306,56
63,349,57
63,398,58
63,399,58
63,400,58
64,259,52
64,305,56
64,335,57
64,404,58
64,405,58
64,434,54
64,558,55
64,559,55
64,560,55
64,561,55
64,562,55
65,262,52
65,262,56
65,315,56
65,339,57
65,384,58
65,437,54
65,438,54
65,479,55
65,480,55
65,481,55
65,482,55
65,483,55
66,249,52
66,304,56
66,364,57
66,385,58
66,427,54
66,428,54
66,593,55
66,594,55
66,595,55
66,596,55
66,597,55
67,234,52
67,321,56
67,322,56
67,352,57
67,387,58
67,441,54
67,508,55
67,509,55
67,510,55
67,511,55
67,512,55
68,232,52
68,232,56
68,244,52
68,244,56
68,362,57
68,396,58
68,431,54
68,459,55
68,460,55
68,461,55
68,462,55
68,463,55
69,235,52
69,235,56
69,298,56
69,299,56
69,300,56
69,372,57
69,394,58
69,395,58
70,224,52
70,310,55
70,310,56
70,344,57
70,388,58
70,422,54
70,489,55
70,490,55
70,491,55
70,492,55
71,237,52
71,260,52
71,260,56
71,311,56
71,312,56
71,370,57
71,424,54
71,464,55
71,465,55
71,466,55
71,467,55
71,468,55
72,243,52
72,287,56
72,366,57
72,396,58
72,536,55
72,537,55
72,538,55
72,540,55
72,584,55
73,206,52
73,266,52
73,274,56
73,323,56
73,324,56
73,354,57
73,355,57
73,435,54
73,436,54
73,543,55
73,544,55
73,545,55
73,548,55
74,206,52
74,206,56
74,219,52
74,240,52
74,274,56
74,275,56
74,276,56
74,354,57
74,423,54
74,543,55
74,544,55
74,545,55
74,546,55
74,547,55
75,233,52
75,267,54
75,1594,52
75,8663,55
75,17838,57
