OriginId,Title,Code,Author
1590,Donkey Without a Heart,52,null
1589,The Djinn in the Nightingale's Eye,null,A.S. Byatt
1588,Midas and the Donkey's Ears,782,null
1587,The Flying Trunk,null,Hans Christian Andersen
1586,"O princezně Jasněnce a ševci, který létal",null,Jan Drda
1584,Saru Kani Gassen (The Crab and the Monkey),null,null
1583,"Kachi-kachi Yama (Kachi Kachi Mountain, or Fire-Crackle Mountain)",null,null
1582,Hanasaka Jiisan (The Story of the Old Man Who Made Withered Trees to Blossom),null,null
1581,Dragon Rider,null,Cornelia Funke
1580,The Old Dog as Rescuer of the Child (Sheep),101,null
1579,The Smith and the Devil,330,null
1578,null,null,Richard LaGravenese
1577,The Story of the False Prince,null,Wilhelm Hauff
1576,The Rich and the Poor Farmer,1535,null
1575,Ib and Little Christina,null,Hans Christian Andersen
1574,The Bell,null,Hans Christian Andersen
1573,The Money Pig,null,Hans Christian Andersen
1572,The Silent Book,null,Hans Christian Andersen
1571,The Goblin and The Grocer,null,Hans Christian Andersen
1570,The Will-o'-the-Wisps Are in Town,null,Hans Christian Andersen
1569,The Last Pearl,null,Hans Christian Andersen
1568,null,null,George MacDonald
1567,The Star-Child,null,Oscar Wilde
1566,The Fisherman and his Soul,null,Oscar Wilde
1565,The Birthday of the Infanta,null,Oscar Wilde
1564,The Young King,null,Oscar Wilde
1563,A House of Pomegranates,null,Oscar Wilde
1562,The Remarkable Rocket,null,Oscar Wilde
1561,The Devoted Friend,null,Oscar Wilde
1560,The Happy Prince,null,Oscar Wilde
1559,The Nightingale and the Rose,null,Oscar Wilde
1558,Nezha,null,null
1557,"The Butterfly Lovers, 梁山伯与祝英台",null,null
1556,Das Wirtshaus im Spessart (The Spessart Inn),null,Wilhelm Hauff
1555,Ingratitude is the World's Reward,155,null
1554,Relativity of Time,681,null
1553,The Land Where No One Dies,470B,null
1552,The Golden Pot,null,E.T.A. Hoffmann
1551,"The Man Persecuted Because of His Beautiful Wife ",465,null
1550,null,null,Jirí Marek
1549,null,null,Theodor Storm
1548,null,null,Willi Meinck
1547,null,null,Helga Brehme
1546,The Snake as Bridegroom,425M,null
1545,The Enchanted Husband Sings Lullaby,425E,null
1544,Son of the Witch (Cupid and Psyche),425B,null
1543,null,null,Samuil Marshak
1542,Contest in Lying,1920,null
1541,Chu Chin Chow,null,Oscar Asche
1540,The Bear with the Wooden Leg,161A*,null
1539,Whittington's Cat,1651,null
1538,The King's Damsel,null,Vera Chapman
1537,null,null,E. Moshkovskaya
1536,Trouble to Teach,null,Lesya Ukrainka
1534,null,null,Ivan Franko
1533,The Painted Fox,null,Ivan Franko
1532,Decameron,null,Giovanni Boccaccio
1531,The Gruffalo,null,Julia Donaldson
1530,The Worst Witch,null,Jill Murphy
1529,The Gruffalo's Child,null,Julia Donaldson and Axel Scheffler
1528,Love Like Salt,923,null
1526,Scarlet Sails,null,Aleksandr Grin
1525,Le Chat du Rabbin,null,Joann Sfar
1524,The Marzipan Pig,null,Russell Hoban
1522,The Dragon,null,Evgeny Schwartz
1521,The Ordinary Miracle,null,Evgeny Schwartz
1520,A Stranger in a Goat Herd,null,Otia Ioseliani
1518,null,null,Vazha Pshavela
1514,The Liar Hunter,null,Hovhannes Tumanyan
1513,Brother Ax,null,Hovhannes Tumanyan
1512,Dog and Cat,null,Hovhannes Tumanyan
1510,Fox Book (Ahvesagirk),null,Vardan Aygektsi
1507,Liar,null,Hovhannes Tumanyan
1506,The Death of Kikos,null,Hovhannes Tumanyan
1505,Barekendan,null,Hovhannes Tumanyan
1502,The Race between Hare and Tortoise,275A,null
1501,"Masha and the Bear (Ма́ша и Медве́дь, Masha I Medved)",null,null
1500,null,null,John Bellairs
1499,Mykyta Kozhumiaka,null,Anton Siyanika
1498,Reynard the Fox,null,null
1497,"White Snake, 白蛇传",null,null
1496,"Ching Se,青蛇",null,Lilian Lee
1493,"Hua Mulan, 花木兰",null,null
1492,Lying Contest,852,null
1490,Kalif Storch (Caliph Stork),null,Wilhelm Hauff
1489,null,null,Angela Carter
1488,Blind Vaysha,null,Georgi Gospodinov
1487,Regoč,null,Ivana Brlic-Mažuranic
1486,The Erl-King,null,Johann Wolfgang von Goethe
1485,Aregnazan,null,Ghazaros Aghayan
1484,The Half-Pear,900C,null
1483,The Princess Who Cannot Solve the Riddle,851,null
1482,"Shahnameh, The Book of Kings",null,null
1481,The Singing Bones,null,Francesca Lia Block
1480,Jagor,null,"Ivana Brlic–Mažuranic "
1479,Kako je Potjeh tražio istinu,null,Ivana Brlic–Mažuranic
1478,Bratac Jaglenac i sestrica Rutvica,null,Ivana Brlic–Mažuranic
1477,Šuma Stribotrova,null,Ivana Brlic–Mažuranic
1476,"The Cold Heart, The Marble Heart",null,Wilhelm Hauff
1475,The Hunting of the Snark,null,Lewis Carroll
1474,The Premature Burial,null,Edgar Allan Poe
1473,The System of Doctor Tarr and Professor Fether,null,Edgar Allan Poe
1472,The Borrowers,null,Mary Norton
1470,Wait for the Fat Goat,122E,null
1469,The BFG,null,Roald Dahl
1468,"Ugetsu monogatari, Tales of Moonlight and Rain",null,Ueda Akinari
1467,Star Money,779H*,null
1466,Goblin Market,null,Christina Rossetti
1465,Shadows of Forgotten Ancestors,null,Mykhailo Kotsiubynsky
1464,Ole Lukøje,null,Hans Christian Andersen
1463,Here Be Monsters!,null,Alan Snow
1462,Onibaba,null,null
1461,Undine,null,Friedrich de la Motte Fouqué
1460,The Lord of the Rings,null,J. R. R. Tolkien
1459,Zelta zirgs,null,Rainis (Janis Pliekšans)
1457,Die Schustersfrau als Zarin,null,Andrej Platanow
1456,"Klein Zaches, genannt Zinnober",null,E.T.A. Hoffmann
1455,Der Hasenhüter und die Königstochter,null,Ludwig Bechstein
1454,The Young Englishman,null,Wilhelm Hauff
1453,Die fliegende Windmühle,null,Günter Feustel
1452,La Balia,null,Luigi Pirandello
1451,L'Orphelin de Perdide,null,Stefan Wul
1449,A Fairy Tale Told at Night,null,Wilhelm Hauff
1448,The Wonderful Adventures of Nils,null,Selma Lagerlöf
1447,Reisen til julestjernen,null,Sverre Brandt
1446,A Tale of Cinderella,null,W. A. Frankonis
1445,Bröderna Lejonhjärta,null,Astrid Lindgren
1444,The Selfish Giant,null,Oscar Wilde
1443,Konjaku Monogatari,null,null
1442,"Momotaro or ""Peach Boy""",null,null
1441,Daemonologia Rubinzalii Silesii,null,Johannes Praetorius
1440,The Magic Flute,null,Wolfgang Amadeus Mozart
1439,Momo,null,Michael Ende
1438,Der kleine Muck (The Story of Little Muck),null,Wilhelm Hauff
1437,Die Heinzelmännchen,null,August Kopisch
1436,Gritta von Rattenzuhausebeiuns,null,Bettina and Gisela von Arnim
1434,Die Schwarze Mühle,null,Jurij Brezan
444,Tři zlaté vlasy děda Vševěda,null,Karel Jaromír Erben
443,"Obušku, z pytle ven!",null,Karel Jaromír Erben
441,Rusalka,null,null
440,Zlatovláska,null,Karel Jaromír Erben
439,Starých pověstí českých (Old Czech Legends),null,Alois Jirásek
438,Nejkrásnejsí hádanka,null,Jan Drda
437,Sedmero krkavců (The Seven Ravens),null,Božena Nemcová
436,Král Lávra (King Lavra),null,Karel Havlícek Borovský
435,Slovenské pohádky a pověsti (Slovak Fairy Tales and Legends),null,Božena Nemcová
434,Zlaté kapradí,null,Jan Drda
433,The Canterbury Tales,null,Geoffrey Chaucer
432,Monkey King,null,null
431,Journey to the West,null,null
430,Kytice,null,Karel Jaromír Erben
