FilmID,OriginID
35,128
36,128
37,132
37,190
38,42
39,42
40,42
47,42
49,42
50,124
53,165
54,166
56,134
58,135
59,24
59,28
59,59
59,65
59,124
60,82
61,28
62,137
64,138
65,162
66,139
67,89
67,140
68,122
68,141
69,142
70,65
70,143
71,49
72,42
73,42
73,49
73,144
74,81
74,144
75,152
76,281
77,153
78,1588
80,28
80,153
81,24
82,164
83,81
83,144
84,118
85,146
86,18
87,1497
88,148
89,140
90,58
92,53
92,167
94,65
95,153
96,117
97,164
98,28
100,65
102,42
103,151
104,28
105,81
106,24
107,65
109,152
110,21
111,153
112,21
113,146
114,28
115,149
115,177
116,146
117,146
119,146
119,149
119,177
119,179
120,146
121,146
124,28
126,24
127,28
128,124
129,155
130,65
131,21
134,24
135,157
136,81
137,89
138,151
139,140
140,162
141,159
142,117
143,1539
144,42
145,66
147,11
148,11
149,11
150,11
151,11
152,11
153,11
155,11
156,65
157,65
162,89
164,140
169,162
171,164
172,11
173,168
174,40
175,65
176,155
178,124
179,51
179,169
180,65
180,170
181,171
182,171
184,21
185,28
186,173
187,162
188,295
189,175
190,155
192,162
193,155
194,162
195,21
196,65
197,155
198,124
199,162
200,176
201,28
202,177
203,178
204,157
205,177
206,162
207,179
208,180
209,181
210,181
211,28
212,182
213,21
213,28
213,59
213,124
213,183
213,402
214,21
215,184
216,175
217,162
218,186
219,40
221,59
221,124
221,187
222,21
223,65
224,32
224,162
225,155
225,188
226,42
226,189
227,65
229,11
230,155
231,190
232,140
233,21
234,42
235,21
236,21
237,21
238,9
239,59
240,28
241,21
242,146
243,191
244,192
245,193
246,164
247,81
248,21
249,21
249,52
250,28
252,28
253,66
254,28
256,21
257,194
258,195
259,28
260,196
261,20
261,22
262,188
263,441
264,130
265,177
266,414
267,190
268,162
269,177
269,1461
270,65
270,198
271,40
271,146
272,124
273,162
274,59
275,28
276,28
276,199
277,28
277,199
278,28
278,199
279,28
280,28
281,11
281,42
281,65
281,200
282,201
283,28
284,202
285,203
286,40
287,162
288,162
289,28
289,124
289,177
290,21
291,204
292,29
292,65
293,28
294,28
295,155
296,155
297,155
298,155
299,155
300,155
301,155
302,155
303,155
304,155
305,155
306,155
307,155
307,381
309,155
310,155
311,155
312,155
313,89
314,89
315,89
316,89
318,89
318,140
319,162
320,21
320,190
321,408
322,152
323,59
324,59
325,205
326,59
327,162
328,59
329,59
330,159
331,159
332,159
333,159
334,159
335,159
336,159
337,159
338,159
339,206
340,89
340,140
341,207
342,140
343,140
345,140
346,140
347,140
348,140
349,140
350,140
351,140
352,140
356,140
357,140
358,140
359,140
360,140
361,140
362,140
363,140
364,140
365,140
365,208
366,140
366,208
367,140
367,208
368,140
368,208
369,140
369,208
370,140
370,208
371,140
371,208
372,140
372,208
373,140
374,140
375,140
376,140
377,140
378,140
379,140
380,140
381,140
382,140
383,140
384,140
385,140
386,140
387,140
388,140
389,140
390,140
391,140
392,140
393,89
393,140
393,159
395,140
396,140
397,140
398,140
399,140
400,140
401,140
402,159
403,140
404,140
405,140
406,140
407,140
408,140
409,140
410,140
411,209
412,140
413,140
414,140
414,210
415,211
416,140
416,211
417,140
418,140
419,140
420,140
421,140
422,140
423,166
426,166
427,166
428,166
429,31
430,31
431,42
432,31
433,42
434,42
435,42
436,42
437,42
438,42
439,42
440,42
442,42
443,42
444,42
445,42
446,42
447,41
447,42
448,42
449,42
449,212
450,42
451,42
452,42
453,42
454,42
455,42
456,42
457,42
458,124
459,28
460,162
461,177
462,162
463,65
464,7
465,42
466,42
467,42
469,11
470,11
471,11
471,213
472,11
473,11
474,11
475,11
475,215
476,11
476,216
477,11
477,217
478,11
478,217
479,98
480,11
481,11
482,11
482,218
483,11
484,11
485,11
486,11
487,11
488,11
489,11
491,11
491,219
492,11
493,11
494,11
495,11
496,11
497,11
498,11
500,65
501,65
502,65
503,65
504,65
505,65
506,65
508,65
509,65
510,65
511,65
512,65
512,220
513,65
514,65
515,65
516,65
517,65
518,65
519,65
520,65
521,65
522,65
522,221
523,65
523,222
524,65
525,28
525,65
525,124
525,140
525,155
526,168
528,21
529,21
530,21
530,28
531,146
532,124
533,28
534,24
535,326
536,28
537,28
538,24
539,40
540,81
541,28
542,175
543,28
544,28
545,28
547,65
548,65
549,65
549,223
550,65
551,65
552,65
553,65
553,224
554,65
555,65
556,65
556,225
557,59
558,65
559,65
561,65
562,65
563,59
564,65
564,226
565,65
566,59
567,65
568,59
569,65
569,228
570,65
570,229
571,59
572,65
573,40
574,65
576,40
577,65
578,65
579,40
580,65
581,65
582,65
583,65
584,40
585,40
586,40
587,40
588,40
589,40
590,40
591,40
592,40
593,40
594,40
595,40
597,124
598,59
600,40
602,117
605,268
606,117
607,124
608,124
609,124
610,124
611,124
612,124
613,65
614,65
615,65
616,65
617,65
618,65
619,65
623,124
625,124
626,408
627,124
628,124
629,124
632,34
632,65
632,230
632,408
633,65
634,65
635,28
635,65
636,65
637,231
638,65
640,232
642,58
642,408
645,233
645,234
646,3
647,66
648,53
649,41
649,50
649,414
651,235
652,19
653,124
654,27
655,124
656,124
657,124
658,124
659,162
660,65
661,65
662,65
663,65
664,65
664,152
665,65
666,65
667,65
668,65
669,65
670,65
671,65
672,65
674,65
675,65
676,65
677,65
678,65
679,65
680,65
681,65
682,65
683,65
684,65
685,65
686,65
687,65
688,65
689,65
690,65
691,124
692,124
693,124
694,124
695,124
697,124
698,21
699,124
700,124
701,53
703,124
704,65
705,65
706,65
707,65
708,65
709,65
710,65
711,65
712,65
713,12
713,65
714,65
715,65
716,49
716,65
717,65
718,65
719,65
720,65
720,1446
721,65
722,65
724,65
725,65
726,65
727,65
728,65
730,65
731,65
732,65
733,236
734,65
735,28
736,28
737,28
738,28
739,28
740,28
741,28
742,28
743,28
744,28
745,28
746,28
747,65
749,65
750,65
751,65
752,65
753,66
754,66
755,49
756,49
757,49
758,49
759,49
761,49
762,49
763,49
764,49
765,49
766,49
767,49
767,238
769,49
770,65
771,239
772,65
773,65
774,65
775,65
776,65
777,240
778,36
778,40
778,65
778,124
779,65
780,65
781,65
782,65
783,65
784,65
785,65
786,65
787,65
788,65
789,124
790,124
791,117
792,117
793,117
794,117
795,117
796,117
797,117
798,117
799,117
800,117
801,117
802,117
803,117
804,117
805,117
806,117
807,117
808,117
809,117
810,117
811,175
812,175
813,175
814,175
815,175
816,175
817,175
818,175
819,175
820,175
821,175
822,175
823,175
824,175
825,175
826,175
827,175
828,175
829,175
830,65
831,65
832,65
833,65
834,65
835,65
836,65
836,241
837,65
838,65
839,65
840,65
841,65
842,65
843,65
844,65
845,65
846,65
847,65
848,65
849,11
849,42
849,65
850,65
851,65
852,65
853,65
854,65
855,124
856,124
857,65
858,408
859,408
861,408
862,65
863,65
864,65
865,65
865,152
866,65
867,65
868,28
869,40
870,9
871,124
872,65
873,59
874,11
874,21
875,29
876,124
877,175
878,65
879,65
880,65
881,65
882,65
883,65
884,65
885,21
886,124
887,65
888,65
889,65
890,65
891,65
892,65
893,65
894,65
895,49
896,49
897,49
898,49
899,21
900,21
901,21
902,21
903,21
904,21
905,21
906,21
907,21
908,21
909,21
910,21
911,21
912,21
913,21
914,21
916,21
917,21
920,21
921,21
922,21
923,21
924,21
925,21
926,21
927,21
928,21
929,21
931,21
933,24
934,24
935,24
936,24
937,24
938,24
939,24
940,24
941,24
942,24
943,24
944,24
945,24
946,24
947,24
948,24
949,24
950,24
951,24
952,24
954,24
955,24
956,24
957,24
958,65
959,65
960,65
961,65
962,65
963,65
964,65
965,65
966,65
967,65
968,58
968,65
969,28
969,40
969,65
969,155
969,175
969,187
970,65
971,42
971,190
972,24
973,196
974,196
975,196
976,196
977,196
978,196
979,196
980,18
981,18
981,82
981,157
982,246
983,40
984,177
985,247
988,276
989,262
990,272
991,272
992,255
993,260
994,149
995,7
995,277
996,253
997,253
998,253
999,253
1000,253
1001,253
1002,253
1003,253
1004,253
1005,268
1006,268
1007,268
1008,196
1009,196
1010,196
1011,164
1012,164
1013,164
1014,164
1015,164
1016,155
1016,164
1017,164
1018,164
1019,177
1020,278
1021,11
1022,190
1023,190
1024,190
1025,190
1026,190
1027,190
1028,190
1030,176
1031,190
1033,12
1033,65
1034,186
1035,177
1036,11
1036,326
1037,11
1037,326
1038,65
1038,279
1039,164
1040,164
1041,164
1042,164
1043,164
1044,164
1045,164
1046,164
1047,164
1048,164
1049,164
1050,164
1051,164
1052,164
1053,164
1054,164
1055,164
1056,164
1057,164
1058,164
1059,164
1060,164
1061,164
1062,164
1063,164
1064,11
1065,11
1066,11
1067,11
1068,11
1069,11
1070,11
1071,11
1072,11
1073,28
1074,9
1075,162
1076,177
1077,162
1078,164
1079,164
1080,164
1081,164
1082,164
1083,164
1084,164
1085,190
1086,190
1087,177
1088,177
1089,177
1090,177
1091,177
1093,177
1094,177
1095,177
1096,179
1097,179
1098,179
1099,119
1099,252
1100,119
1100,252
1101,119
1101,252
1102,119
1102,252
1103,119
1103,252
1104,176
1105,176
1106,176
1107,176
1108,146
1109,146
1110,146
1111,146
1112,146
1115,146
1117,146
1118,146
1119,152
1120,152
1122,81
1125,443
1128,142
1130,40
1134,90
1135,279
1136,58
1137,1577
1138,265
1140,274
1141,274
1142,1586
1143,83
1148,333
1150,40
1151,24
1152,187
1153,190
1154,259
1155,19
1156,153
1157,81
1158,89
1159,87
1161,7
1161,277
1162,69
1163,90
1164,1476
1165,1438
1167,281
1168,414
1170,28
1172,58
1173,96
1174,279
1175,280
1176,190
1177,280
1178,54
1179,190
1180,190
1181,44
1182,190
1183,1436
1184,49
1185,190
1186,49
1187,79
1187,1528
1188,190
1189,282
1190,58
1191,314
1191,317
1193,79
1194,379
1195,58
1196,81
1197,190
1198,190
1199,190
1200,190
1201,190
1202,190
1203,190
1204,81
1205,81
1206,81
1207,81
1208,81
1209,81
1210,81
1211,81
1212,81
1213,9
1214,9
1215,9
1216,9
1216,24
1216,49
1217,9
1220,40
1223,117
1228,9
1229,9
1230,9
1231,28
1232,28
1233,28
1234,28
1235,28
1236,28
1237,28
1238,28
1239,28
1240,28
1241,28
1242,28
1243,28
1244,28
1245,28
1246,28
1247,28
1248,28
1250,28
1251,28
1252,28
1253,28
1254,28
1255,28
