Guid,Title,Code,Author,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
0060f010-00ed-4da0-9813-c6b1189e5f4c,The Castle of Otranto5,null,Horace Walpole,,,,
00b767f6-c46b-410e-b2c7-91ad5671cd4e,Scarlet Sails,null,Aleksandr Grin,,,,
00cad65c-3ff6-4b4d-bbf9-721266a37e7c,Secret Beyond the Door,null,Rufus King,,,,
01cb7bca-5c90-4e47-9a02-5ae49c821f97,Fantastic Mr. Fox,null,Roald Dahl,,,,
022241a6-e3e5-4d3d-8954-e86cdbec2042,The Story of a Mother,null,Hans Christian Andersen,,,,
02fb7720-799c-4df1-92ec-69545ab983e8,The Three Snake-Leaves,612,null,,,,
03fd8405-88f3-44e5-9274-d6ce81a47681,My Father’s Dragon,null,Ruth Stiles Gannett,,,,
04890db4-d2f7-41e8-be13-4a90729e9d8a,"Gumiho (The Fox with Nine Tails, Huli Jin, Kitsune Fox Spirit, Fox Fairy)",null,null,,,,
04a9c418-a92b-4f1d-820c-5c37512c7927,The Little Mermaid,null,Hans Christian Andersen,,,,
04fb07ec-2e11-42ea-96ce-6537bfdfb5d8,"White Snake, 白蛇传",null,null,,,,
05538016-d0b4-4a9f-9a32-0c3909b4a8cb,Why the Swallow Has the Tail with Little Horns,null,null,,,,
058f93e2-1f08-47e8-acd0-f112f5935a02,"Ching Se,青蛇",null,Lilian Lee,,,,
05aa3813-aa05-4bbc-8945-e0266685fef5,The Princess in the Coffin,307,null,,,,
05e4c166-f7b7-45e6-9ca6-370b197a4dfd,"Kachi-kachi Yama (Kachi Kachi Mountain, or Fire-Crackle Mountain)",null,null,,,,
062fd944-32bd-4158-994c-fbc23fd34fa1,null,null,Angela Carter,,,,
0643813c-3164-4f40-9221-b7b7e4917747,Ib and Little Christina,null,Hans Christian Andersen,,,,
075685db-39b9-457c-93aa-a303dadc8d05,A House of Pomegranates,null,Oscar Wilde,,,,
07c90906-075c-463c-8737-7089a60d573d,null,null,Tim Burton,,,,
080f84f2-06fd-4c35-87f7-17827e3b04a1,The Brothers and the Ogre,327B,null,,,,
0a0512bd-65e1-4381-880b-bcb54d4d347b,I Was a Rat,null,Philip Pullman,,,,
0a17b295-c551-41da-ada5-924dddf4c0fc,The Emperor's New Clothes,null,Hans Christian Andersen,,,,
0a98de96-f33e-4e1b-a352-9a64897be46f,The Snow Queen,null,Hans Christian Andersen,,,,
0ab221c9-9090-45d3-8f78-9cc0012614df,The Name of the Supernatural Helper,500,null,,,,
0b0999cf-84e6-479e-8c02-3eab1280c4cb,The Prince Whose Wishes Always Come True,652,null,,,,
0b23ed1a-6951-4d47-a0eb-a7292221d31b,null,null,Philip Pullman,,,,
0b90d142-eced-4c79-9ecd-6a6e91c20bba,Sumurun,null,Richard Rieß,,,,
0c13df62-f42e-40f5-a090-08ca0b806338,The Fleeing Pancake,2025,null,,,,
0c278ef7-412d-4e09-ae49-1216ae3a427e,Dungbeetle,559,null,,,,
0d04cc2b-f17d-4cb3-9a59-d50df338e72a,Mary Poppins,null,P. L. Travers,,,,
